studyCountry,studyCity,studyLon,studyLat,birthCountry,countryID,contactCountry,contactCity,contactLon,contactLat,weight,total_at_cp,country_at_cp,isBoth,
Pakistan,Islamabad Area,73.0628,33.7011,Pakistan,5,Afghanistan,Uruzgan,66.3011,33.8446,2,4,2,0,
Greece,Athens Area,23.7997,38.0626,Pakistan,5,Finland,Uusimaa,24.8475,60.4179,1,1,1,0,
Italy,Roma,12.7308,41.965,Eritrea,3,Sweden,Varmland,13.0764,59.8068,1,1,1,0,
Italy,Roma,12.7308,41.965,Eritrea,3,Sweden,Vastra Gotaland,12.8371,58.2428,1,1,1,0,
Italy,Milano,9.1154,45.442,Eritrea,3,Switzerland,Vaud,6.5118,46.6204,1,1,1,0,
Italy,Udine,13.1961,46.0839,Pakistan,5,Italy,Venezia,12.1647,45.4591,1,1,1,1,
Italy,Turin,7.47211,45.1609,Nigeria,99,Italy,Vercelli,8.15956,45.8416,1,1,1,0,
Ethiopia,Addis Ababa,38.7815,8.966,Eritrea,3,Norway,Vest-Agder,7.30897,58.4481,2,3,3,0,
Italy,Rieti,12.9445,42.3382,Eritrea,3,Norway,Vest-Agder,7.30897,58.4481,1,3,3,0,
Ethiopia,Addis Ababa,38.7815,8.966,Eritrea,3,Australia,Victoria,144.75,-37.0082,2,3,3,0,
Ethiopia,Tigray,38.2158,14.1003,Eritrea,3,Australia,Victoria,144.75,-37.0082,1,3,3,0,
Ethiopia,Addis Ababa,38.7815,8.966,Eritrea,3,USA,Virginia,-78.2431,37.7403,3,3,1,0,
Greece,Athens Area,23.7997,38.0626,DR Congo,2,Greece,Voreio Aigaio,25.2262,39.9531,1,1,1,1,
Greece,Athens Area,23.7997,38.0626,Afghanistan,1,Afghanistan,Wardak,68.1087,34.4269,3,3,1,0,
Italy,Roma,12.7308,41.965,Eritrea,3,USA,Washington,-120.361,47.4865,1,1,1,0,
Greece,Athens Area,23.7997,38.0626,Afghanistan,1,Austria,Wien,16.3798,48.2247,2,3,2,0,
Jordan,Mafraq,37.6195,32.2481,Syria,4,Austria,Wien,16.3798,48.2247,1,3,1,0,
Jordan,Ajlun,35.761,32.2932,Syria,4,Jordan,Zarqa,36.8284,31.8095,3,12,12,0,
