x1,y1,z1,x2,y2,z2
13,9,21,13,5,41
18,9,27,9,9,36
16,11,22,10,7,30
6,34,51,10,11,32
18,20,29,7,9,33
14,15,42,4,9,40
4,5,29,29,21,34
6,20,39,12,35,23
9,20,33,49,24,25
7,20,29,3,12,21
7,5,31,13,12,37
7,5,23,18,12,24
7,5,29,26,12,29
9,5,22,8,14,33
25,25,24,2,23,31
10,25,38,4,14,20
10,20,44,5,10,35
13,25,45,20,10,32
13,20,31,4,10,28
37,17,35,5,16,32
9,0,21,4,14,31
7,16,43,10,20,26
4,16,44,10,10,28
4,16,47,5,12,32
15,14,42,10,12,27
4,17,39,8,10,36
22,14,34,5,14,35
45,26,49,10,12,33
55,21,57,14,12,30
49,26,55,11,14,26
45,26,55,13,10,35
46,26,55,11,14,34
46,26,29,6,12,24
38,17,40,17,5,29
25,31,32,7,12,19
50,27,33,10,9,37
37,22,49,12,5,29
45,16,35,11,10,29
24,18,52,10,5,30
49,27,39,10,5,32
37,26,37,26,13,34
36,26,42,25,5,22
38,17,39,12,10,34
37,26,41,33,15,51
45,31,29,34,15,51
50,20,39,27,15,51
30,26,32,30,15,51
14,16,37,39,19,51
4,26,40,40,10,49
27,26,47,9,17,51
4,21,38,8,15,51
5,16,36,34,10,51
1,21,47,28,12,51
3,16,29,9,15,51
1,26,33,10,15,45
6,21,45,10,12,37
18,21,46,30,12,45
25,16,37,33,15,41
5,16,35,9,15,63
31,22,19,28,15,49
7,25,32,10,15,49
29,20,56,12,5,44
38,20,41,15,5,28
27,24,43,15,5,42
27,24,49,13,5,32
35,19,43,15,15,21
30,29,55,24,25,26
40,18,47,10,5,43
31,17,54,11,0,31
34,17,57,12,0,28
23,19,39,8,0,26
33,18,47,8,5,24
27,19,50,12,5,42
14,24,34,10,5,36
27,10,24,10,5,36
26,0,38,7,5,42
25,15,36,8,11,29
23,0,36,47,15,22
32,19,21,10,5,28
18,5,21,10,5,19
42,5,37,12,15,42
8,5,30,7,20,29
8,5,27,10,20,23
12,5,27,29,32,33
20,0,28,9,20,33
29,17,25,4,25,23
13,10,22,11,5,31
43,18,26,31,25,28
22,17,32,10,5,20
38,24,30,12,25,28
48,17,43,7,25,26
48,16,26,13,25,22
45,20,29,9,27,21
26,5,17,19,20,38
13,5,36,17,14,33
26,10,18,21,5,29
8,5,32,46,19,36
28,0,34,15,19,46
8,5,32,3,15,40
13,5,22,25,30,26
37,5,17,7,29,28
9,10,24,4,30,32
33,15,37,17,22,34
8,5,12,10,16,43
9,5,26,6,19,37
38,24,12,8,10,31
13,5,12,12,25,22
14,5,32,14,26,48
9,5,9,14,26,42
16,5,21,12,30,38
36,5,12,5,20,31
14,5,14,6,21,58
14,5,14,7,25,43
20,5,14,13,18,28
35,12,39,8,16,39
47,11,42,7,21,37
26,1,57,30,21,38
27,15,50,13,10,29
17,10,41,6,16,48
32,2,43,14,16,26
15,1,42,6,16,38
24,13,44,5,19,53
51,20,36,9,14,34
19,25,27,9,10,38
38,6,33,9,19,45
33,26,39,5,15,37
42,6,34,7,10,58
48,10,36,8,12,40
22,12,29,4,14,34
42,6,35,4,12,43
38,7,23,6,10,43
43,6,39,9,14,53
22,6,39,6,12,34
37,6,35,12,12,38
37,6,47,22,20,34
11,7,44,4,16,50
12,10,39,9,14,36
32,27,23,6,12,42
13,7,16,11,12,44
41,20,17,53,15,51
36,8,21,37,21,49
41,30,22,51,21,53
33,7,16,8,30,52
34,10,24,9,15,50
42,6,16,42,20,31
27,11,22,14,21,23
36,11,24,34,21,59
24,7,26,37,15,39
39,7,26,9,17,39
34,7,25,10,16,49
31,7,33,52,17,39
33,6,23,27,26,27
36,21,39,31,22,45
35,11,23,26,37,57
41,8,28,9,22,44
28,10,31,42,26,41
38,10,15,48,15,35
27,10,32,10,23,47
34,7,24,33,20,37
47,33,25,6,16,44
38,10,31,7,20,28
32,10,25,6,16,63
26,10,19,5,16,47
41,10,20,3,16,53
31,11,20,15,26,32
42,6,18,7,16,26
32,6,22,3,23,46
25,7,21,7,16,48
37,10,22,1,21,43
36,8,18,5,16,61
32,6,21,1,16,45
44,9,23,5,16,49
43,6,18,6,16,44
12,6,19,19,16,41
38,8,20,3,21,55
32,7,28,8,16,39
32,16,23,11,16,38
30,10,20,4,18,40
39,15,19,46,21,27
38,6,26,22,19,47
31,6,22,29,17,47
23,6,34,37,21,47
50,10,25,38,24,41
33,11,13,28,19,44
36,6,19,32,14,41
38,6,25,37,15,64
43,23,32,35,23,47
26,21,46,30,19,47
36,20,32,48,14,55
52,11,23,27,15,54
18,20,26,34,18,33
55,20,23,22,19,62
49,20,34,26,19,47
41,18,32,31,19,47
43,13,25,29,19,47
62,23,27,34,15,54
40,8,32,27,14,61
56,19,30,25,17,43
59,13,27,38,18,50
57,5,30,37,13,33
52,18,34,27,14,54
47,22,30,28,19,55
56,13,27,47,10,33
46,19,30,16,5,26
23,26,27,16,43,35
41,30,32,19,10,28
55,16,31,21,12,22
47,13,31,13,21,26
59,8,30,12,24,27
42,17,29,10,5,18
46,20,24,29,20,16
44,37,24,35,5,18
58,16,30,44,35,32
60,7,28,37,12,23
45,6,22,34,22,22
36,6,33,30,19,27
57,7,28,12,0,26
49,7,29,18,0,26
55,7,33,14,5,17
54,7,28,49,11,32
56,23,30,12,5,22
61,16,29,15,5,24
52,22,33,14,5,22
47,7,29,33,5,25
42,25,31,33,24,32
37,7,33,5,5,29
50,19,30,38,23,26
44,19,29,12,14,36
48,16,31,35,13,27
37,27,43,52,25,36
29,27,42,51,39,31
34,25,38,27,33,30
44,29,44,51,20,22
13,25,44,36,10,39
30,25,46,34,12,25
33,20,38,48,9,38
11,20,45,27,9,31
12,20,44,50,15,42
37,25,46,39,12,37
28,25,38,11,13,28
36,25,45,9,9,23
33,27,44,46,21,26
42,25,44,30,9,20
36,25,46,29,10,20
31,11,29,32,18,26
30,6,36,6,13,31
33,12,29,42,19,29
26,8,40,41,15,30
36,13,29,36,15,23
24,12,23,36,17,16
34,16,25,45,16,36
34,6,40,36,20,26
30,13,44,30,23,26
34,31,43,31,20,31
14,13,37,35,14,29
16,20,35,38,16,23
15,10,27,54,23,23
21,6,40,15,18,16
15,12,16,44,17,33
41,16,38,34,25,24
10,10,19,48,32,25
27,11,22,58,26,28
27,30,33,62,21,30
15,6,25,59,17,31
29,11,24,50,16,25
29,18,26,51,18,30
34,26,33,45,27,35
32,13,17,54,17,34
4,12,35,56,22,35
10,12,35,59,16,32
30,21,18,47,9,32
39,27,31,55,22,28
9,17,37,45,24,37
39,15,51,43,19,63
37,30,45,54,21,29
48,20,39,54,16,28
41,31,29,49,17,28
4,11,57,43,16,24
31,19,47,11,20,24
29,13,28,52,16,27
18,7,21,39,16,27
19,8,32,53,16,32
35,18,16,61,16,28
26,9,22,50,23,42
27,10,27,52,17,29
23,19,26,37,23,29
13,11,36,48,18,27
4,13,35,41,21,49
,,,39,16,44
,,,33,18,48
,,,39,26,48
,,,42,26,28
,,,57,21,28
,,,42,11,23
,,,37,16,29
,,,54,18,53
,,,36,24,44
,,,56,20,62
,,,44,16,53
,,,51,21,62
,,,36,21,46
,,,3,7,42
,,,37,5,15
,,,14,7,10
,,,14,6,15
,,,8,25,22
,,,13,5,13
,,,13,5,33
,,,43,5,14
,,,15,15,30
,,,17,5,14
,,,15,5,12
,,,3,5,26
,,,15,5,32
,,,9,5,30
,,,8,5,28
,,,8,5,32
,,,8,15,15
,,,13,5,14
,,,30,5,22
,,,9,5,36
,,,14,5,30
,,,9,5,20
,,,14,5,30
,,,9,5,21
,,,9,5,14
,,,32,31,32
,,,4,5,25
,,,9,5,22
,,,37,5,22
,,,12,10,38
,,,18,5,32
,,,9,5,18
,,,48,32,40
,,,3,6,26
,,,42,14,23
,,,31,10,30
,,,31,16,57
,,,31,13,40
,,,8,18,41
,,,23,26,45
,,,12,19,33
,,,34,16,33
,,,19,13,61
,,,11,23,54
,,,41,18,51
,,,33,6,43
,,,30,17,47
,,,30,1,47
,,,44,20,53
,,,47,13,31
,,,36,20,41
,,,42,15,32
,,,35,22,32
,,,32,22,33
,,,29,12,29
,,,28,2,31
,,,27,13,23
,,,40,21,51
,,,20,1,26
,,,31,17,50
,,,26,15,42
,,,31,11,35
,,,27,6,40
,,,22,18,42
,,,28,16,38
,,,8,27,30
,,,12,16,49
,,,12,16,44
,,,34,32,37
,,,13,25,38
,,,24,6,39
,,,13,18,41
,,,11,6,39
,,,18,6,48
,,,16,6,34
,,,14,6,37
,,,13,20,33
,,,12,6,34
,,,14,10,41
,,,24,11,36
,,,43,13,33
,,,37,6,37
,,,23,7,32
,,,17,6,36
,,,20,7,34
,,,40,10,36
,,,15,14,32
,,,21,12,32
,,,22,7,29
,,,18,10,38
,,,25,6,38
,,,21,21,33
,,,37,6,43
,,,35,6,17
,,,35,7,16
,,,36,7,19
,,,29,6,25
,,,27,7,22
,,,37,10,20
,,,38,10,26
,,,41,7,20
,,,29,10,17
,,,38,9,27
,,,37,6,17
,,,32,11,34
