submissionID,studyCountry,stud_adm1,lond_stud_adm1,lat_stud_adm1,studyCity,studyLon,studyLat,birthCountry,countryID,birthCity,contactCountry,cont_adm1,long_cont_adm1,lat_cont_adm1,contactCity,contactLon,contactLat,weight	
SInt-SHARP-AR-412-PAK,Pakistan,Punjab,72.3449,31.3589,Lahore,74.3142,31.5658,Afghanistan,1,Baghlan,Pakistan,K.P.,72.6402,34.9407,Bannu,70.64132568,32.9936353,24	
SInt-SHARP-ZA-153-PAK,Pakistan,Punjab,72.3449,31.3589,Lahore,74.3142,31.5658,Afghanistan,1,Baghlan,Afghanistan,Kabul,69.3846,34.4949,Kabul,69.1776838,34.5260109,1	
SInt-SHARP-AR-409-PAK,Pakistan,Punjab,72.3449,31.3589,Lahore,74.3142,31.5658,Afghanistan,1,Kandahar,Afghanistan,Kandahar,65.7163,31.135,Kandahar,65.7157573,31.6205738,4	
SInt-SHARP-AI-035-PAK,Pakistan,Punjab,72.3449,31.3589,Lahore,74.3142,31.5658,Afghanistan,1,Kunduz,Pakistan,Punjab,72.3449,31.3589,Gujranwala,74.19412852,32.16319331,7	
SInt-SHARP-AI-311-PAK,Pakistan,Punjab,72.3449,31.3589,Lahore,74.3142,31.5658,Afghanistan,1,Kunduz,Pakistan,Sind,68.8685,26.3734,Karachi,67.0207055,24.8546842,4	
SInt-FIERI-FR-046-ITA,Italy,Roma,12.7308,41.965,Rome,12.48317519,41.89861642,Afghanistan,1,Parwan,Afghanistan,Kabul,69.3846,34.4949,Kabul,69.1776838,34.5260109,1	
SInt-SHARP-AI-175-PAK,Pakistan,Sind,68.8685,26.3734,Karachi,67.2308,25.0035,Afghanistan,1,Faryab,Iraq,Baghdad,44.3827,33.306,Baghdad,44.3787992,33.3024309,1	
SInt-SHARP-AR-185-PAK,Pakistan,Sind,68.8685,26.3734,Karachi,67.2308,25.0035,Afghanistan,1,Kabul,Pakistan,Baluchistan,65.5512,27.5194,Loralai,68.59588183,30.37912538,7	
SInt-SHARP-NS-203-PAK,Pakistan,Sind,68.8685,26.3734,Karachi,67.2308,25.0035,Afghanistan,1,Kunduz,Iran,Esfahan,52.4195,32.9837,Isfahan,51.6650002,32.6707877,1	
SInt-SHARP-AR-179-PAK,Pakistan,Sind,68.8685,26.3734,Karachi,67.2308,25.0035,Afghanistan,1,Kandahar,Pakistan,K.P.,72.6402,34.9407,Charsadda,71.7517705,34.16916546,11	
SInt-SHARP-AI-178-PAK,Pakistan,Sind,68.8685,26.3734,Karachi,67.2308,25.0035,Afghanistan,1,Baghlan,Oman,Muscat,58.6759,23.2505,Muscat,58.3829448,23.5882019,2	
SInt-SHARP-SK-236-PAK,Pakistan,Sind,68.8685,26.3734,Karachi,67.2308,25.0035,Afghanistan,1,Kunduz,USA,New York,-75.3242,43.1988,New York,-74.0060152,40.7127281,1	
SInt-SHARP-AI-048-PAK,Pakistan,Sind,68.8685,26.3734,Karachi,67.2308,25.0035,Afghanistan,1,Kabul,Canada,Ontario,-84.7943,50.5244,Toronto,-79.3839347,43.6534817,4	
