submission;studyCountry;originCountry;siteType;IDPCamp;gender;age;maritalStatus;education;protectionStatus;Connectivity;Mobility;Marginalisation
SInt-AAU-Awe-028-ET;231;232;3;1;2;5;4;0;2;7;10;31
SInt-AAU-Awe-028-ET;231;232;3;1;2;3;2;0;2;11;5;20
SInt-AAU-Awe-029-ET;231;232;3;1;2;3;2;0;2;7;10;24
SInt-AAU-Awe-029-ET;231;232;3;0;1;2;1;1;2;26;13;34
SInt-AAU-Awe-030-ET;231;232;3;1;2;4;4;0;2;10;10;31
SInt-AAU-Awe-030-ET;231;232;3;0;1;3;2;2;2;25;5;22
SInt-AAU-Awe-031-ET;231;232;3;1;2;1;2;1;2;7;10;32
SInt-AAU-Awe-032-ET;231;232;3;1;2;3;2;1;2;8;10;32
SInt-AAU-Awe-033-ET;231;232;3;1;1;3;2;2;2;12;10;34
SInt-AAU-Awe-034-ET;231;232;3;1;2;4;1;1;2;25;14;35
SInt-AAU-Awet-020-E;231;232;3;1;2;2;4;1;2;10;10;28
SInt-AAU-Bhy-001-ET;231;232;1;0;2;4;2;3;2;31;21;47
SInt-AAU-Bhy-002-ET;231;232;1;0;2;1;1;2;2;32;10;51
SInt-AAU-Bhy-003-ET;231;232;1;0;2;2;1;2;2;28;15;51
SInt-AAU-Bhy-004-ET;231;232;1;0;2;2;1;2;2;31;15;47
SInt-AAU-Bhy-005-ET;231;232;1;0;2;2;1;2;2;34;15;51
SInt-AAU-Bhy-006-ET;231;232;1;0;1;2;1;2;2;33;15;51
SInt-AAU-Bhy-007-ET;231;232;1;0;1;2;1;2;2;34;15;51
SInt-AAU-Bhy-008-ET;231;232;1;0;1;1;1;1;2;27;15;51
SInt-AAU-Bhy-009-ET;231;232;1;0;1;1;1;2;2;30;15;51
SInt-AAU-Bhy-010-ET;231;232;1;0;2;3;2;0;2;33;19;46
SInt-AAU-Bhy-011-ET;231;232;1;0;2;4;2;1;2;36;20;47
SInt-AAU-Bhy-012-ET;231;999;1;0;2;2;1;0;2;39;15;51
SInt-AAU-Bhy-013-ET;231;232;1;0;2;2;2;1;2;19;25;51
SInt-AAU-Bhy-014-ET;231;232;1;0;1;4;2;2;2;39;19;51
SInt-AAU-Bhy-015-ET;231;232;1;0;2;3;2;1;2;14;24;45
SInt-AAU-Bhy-016-ET;231;232;1;0;1;2;1;1;2;40;10;49
SInt-AAU-Bhy-017-ET;231;232;1;0;2;3;2;1;2;9;27;52
SInt-AAU-Bhy-018-ET;231;232;1;1;2;2;1;1;2;27;10;51
SInt-AAU-Bhy-019-ET;231;232;1;0;2;2;2;1;2;32;20;51
SInt-AAU-Bhy-020-ET;231;232;1;0;1;2;1;1;2;9;17;51
SInt-AAU-Bhy-021-ET;231;232;1;0;2;2;2;2;2;9;17;56
SInt-AAU-Bhy-022-ET;231;232;1;0;2;1;1;1;#NULL!;12;10;52
SInt-AAU-Bhy-023-ET;231;232;1;0;1;3;1;2;#NULL!;8;15;51
SInt-AAU-Bhy-024-ET;231;232;1;0;2;3;1;1;#NULL!;10;15;51
SInt-AAU-Bhy-025-ET;231;232;1;0;1;2;1;2;#NULL!;34;10;51
SInt-AAU-Bhy-026-ET;231;232;1;0;1;2;1;2;#NULL!;28;12;51
SInt-AAU-Bhy-027-ET;231;232;1;0;1;2;1;1;#NULL!;9;15;51
SInt-AAU-Bhy-028-ET;231;232;1;0;1;3;1;2;#NULL!;10;15;45
SInt-AAU-Bhy-029-ET;231;232;1;0;1;3;2;2;#NULL!;10;12;37
SInt-AAU-Bhy-030-ET;231;232;1;0;1;2;1;2;#NULL!;30;12;45
SInt-AAU-Bhy-031-ET;231;232;1;0;2;2;3;2;#NULL!;31;15;51
SInt-AAU-Bhy-032-ET;231;232;1;0;1;1;1;1;2;33;15;41
SInt-AAU-Bhy-033-ET;231;232;1;0;2;3;1;1;2;37;15;47
SInt-AAU-Bhy-034-ET;231;232;1;0;2;1;1;1;2;35;10;39
SInt-AAU-Bhy-035-ET;231;232;1;0;2;2;1;1;2;37;15;51
SInt-AAU-Bhy-036-ET;231;232;1;0;2;3;1;1;2;28;20;45
SInt-AAU-Bhy-037-ET;231;232;1;0;2;3;1;3;2;27;15;51
SInt-AAU-Bhy-038-ET;231;232;1;0;1;2;1;1;1;9;15;63
SInt-AAU-Bhy-039-ET;231;232;1;0;2;3;2;2;2;34;15;49
SInt-AAU-Bhy-040-ET;231;232;1;0;1;2;1;2;2;28;15;49
SInt-AAU-Bhy-041-ET;231;232;1;0;1;2;1;1;2;10;15;49
SInt-AAU-Bhy-042-ET;231;999;1;0;1;2;1;1;2;32;15;49
SInt-AAU-HAG-001-ET;231;232;3;1;2;2;2;1;#NULL!;46;9;14
SInt-AAU-HAG-002-ET;231;232;3;1;2;3;4;0;#NULL!;32;26;18
SInt-AAU-HAG-003-ET;231;232;3;1;1;6;2;0;#NULL!;12;5;44
